frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
334,3.789033000,192.168.2.20,192.168.2.20,37432,1935,80
335,3.789158000,192.168.2.20,192.168.2.20,1935,37432,72
336,3.789220000,192.168.2.20,192.168.2.20,37432,1935,2708
337,3.789286000,192.168.2.20,192.168.2.20,1935,37432,72
338,3.822082000,192.168.2.20,192.168.2.20,37432,1935,80
339,3.822227000,192.168.2.20,192.168.2.20,1935,37432,72
340,3.822289000,192.168.2.20,192.168.2.20,37432,1935,2636
341,3.822354000,192.168.2.20,192.168.2.20,1935,37432,72
342,3.855733000,192.168.2.20,192.168.2.20,37432,1935,80
343,3.855889000,192.168.2.20,192.168.2.20,1935,37432,72
344,3.855954000,192.168.2.20,192.168.2.20,37432,1935,20938
345,3.856025000,192.168.2.20,192.168.2.20,1935,37432,72
346,3.856058000,192.168.2.20,192.168.2.20,37432,1935,15444
347,3.856095000,192.168.2.20,192.168.2.20,1935,37432,72
348,3.889296000,192.168.2.20,192.168.2.20,37432,1935,80
349,3.889430000,192.168.2.20,192.168.2.20,1935,37432,72
350,3.889511000,192.168.2.20,192.168.2.20,37432,1935,3079
351,3.889593000,192.168.2.20,192.168.2.20,1935,37432,72
352,3.922357000,192.168.2.20,192.168.2.20,37432,1935,80
353,3.922484000,192.168.2.20,192.168.2.20,1935,37432,72
354,3.922545000,192.168.2.20,192.168.2.20,37432,1935,2224
355,3.922611000,192.168.2.20,192.168.2.20,1935,37432,72
356,3.940870000,192.168.3.20,192.168.3.99,56806,1935,174
357,3.955588000,192.168.2.20,192.168.2.20,37432,1935,80
358,3.955670000,192.168.2.20,192.168.2.20,1935,37432,72
359,3.955722000,192.168.2.20,192.168.2.20,37432,1935,25478
360,3.955799000,192.168.2.20,192.168.2.20,1935,37432,72
361,3.955831000,192.168.2.20,192.168.2.20,37432,1935,14495
362,3.955885000,192.168.2.20,192.168.2.20,1935,37432,72
363,3.989080000,192.168.2.20,192.168.2.20,37432,1935,80
364,3.989219000,192.168.2.20,192.168.2.20,1935,37432,72
365,3.989258000,192.168.2.20,192.168.2.20,37432,1935,2866
366,3.989304000,192.168.2.20,192.168.2.20,1935,37432,72
367,4.022131000,192.168.2.20,192.168.2.20,37432,1935,80
368,4.022321000,192.168.2.20,192.168.2.20,1935,37432,72
369,4.022354000,192.168.2.20,192.168.2.20,37432,1935,2297
370,4.022386000,192.168.2.20,192.168.2.20,1935,37432,72
