"No.","Time","Source","Destination","Protocol","Length","Info"
"3121","20.468724","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4606825 Ack=3483 Win=79744 Len=8 TSval=637876553 TSecr=637876512"
"3122","20.468801","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4606833 Win=126208 Len=0 TSval=637876553 TSecr=637876553"
"3123","20.468823","192.168.2.20","192.168.2.20","RTMP","4697","Audio Data|Video Data"
"3124","20.468870","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4611458 Win=126208 Len=0 TSval=637876553 TSecr=637876553"
"3125","20.477514","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3792694 Win=1262848 Len=0 TSval=637876562 TSecr=637876521"
"3126","20.477554","192.168.2.20","192.168.2.20","RTMP","4705","Audio Data|Video Data"
"3127","20.508008","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4611458 Ack=3483 Win=79744 Len=8 TSval=637876592 TSecr=637876553"
"3128","20.508082","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4611466 Win=126208 Len=0 TSval=637876592 TSecr=637876592"
"3129","20.508105","192.168.2.20","192.168.2.20","RTMP","865","Audio Data|Audio Data"
"3130","20.508134","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4612259 Win=126208 Len=0 TSval=637876592 TSecr=637876592"
"3131","20.508151","192.168.2.20","192.168.2.20","TCP","12370","39862  >  1935 [PSH, ACK] Seq=4612259 Ack=3483 Win=79744 Len=12298 TSval=637876592 TSecr=637876592"
"3132","20.508204","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4624557 Win=126208 Len=0 TSval=637876592 TSecr=637876592"
"3133","20.508221","192.168.2.20","192.168.2.20","RTMP","5545","Video Data"
"3134","20.508244","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4630030 Win=126208 Len=0 TSval=637876592 TSecr=637876592"
"3135","20.518499","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3797327 Win=1258368 Len=0 TSval=637876603 TSecr=637876562"
"3136","20.518524","192.168.2.20","192.168.2.20","RTMP","18644","Audio Data|Audio Data|Video Data"
"3137","20.547860","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4630030 Ack=3483 Win=79744 Len=8 TSval=637876632 TSecr=637876592"
"3138","20.547941","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4630038 Win=126208 Len=0 TSval=637876632 TSecr=637876632"
